Kitap ID	Kitap Adı	Yazar	Stok Adet
1001	 Sefiller	 Victor_Hugo	5
1002	 Suç_ve_Ceza	 Dostoyevski	3
1003	 Simyacı	 Paulo_Coelho	4
1004	 Satranç	 Stefan_Zweig	2
1005	 Küçük_Prens	 Saint-Exupéry	1
1006	 İki_Şehrin_Hikayesi	 Charles_Dickens	4
1007	Hobbit	J.R.R._Tolkien	3
1008	 Simyacı	 Paulo_Coelho	2
1009	 Martı_Jonathan_Livingston	 Richard_Bach	5
1010	Savaş_ve_Barış	 Tolstoy	2
1011	Gazap_Üzümleri	 John_Steinbeck	8
1012	 İnsan_Neyle_Yaşar	 Tolstoy	1
1013	 Beyaz_Zambaklar_Ülkesinde	 Grigori_Petrov	2
1014	 Üç_Silahşörler	 Alexandre_Dumas	4
1015	Nefes_Almak_İçin	 George_Orwell	6
1016	 Oliver_Twist	 Charles_Dickens	3
1017	Moby_Dick	 Herman_Melville	4
1018	 Beyaz_Diş	 Jack_London	2
1019	 Nutuk	 Atatürk	9
1020	 Devlet	 Platon	1
